product_id,value,n_units_raw,n_units_std,n_dims,n_units_phys,dom_unit,dom_dim,dom_share
101030203,3600687.159896851,9,5,5,2,千克,MASS,0.9043
301050500,3555334.125,4,4,4,2,千克,MASS,0.936
106051101,3487430.8129882812,5,3,3,1,批,BATCH,0.9581
109060602,3483898.4837036133,13,4,3,1,个,COUNT,0.9003
104010805,3466981.3588867188,10,6,6,2,个,COUNT,0.6725
107030216,3445671.1938676834,7,7,4,2,千克,MASS,0.7762
107021004,3409099.2238769527,14,9,5,1,千克,MASS,0.8571
103010405,3339552.6758117676,19,10,6,2,千克,MASS,0.3685
104010802,3335424.217651367,14,7,6,3,千克,MASS,0.307
302019900,3333902.0075683594,7,5,5,1,批,BATCH,0.4953
107020125,3326161.0849609375,10,5,5,2,千克,MASS,0.7942
307020101,3310168.0599365234,10,6,5,1,UNKNOWN,UNKNOWN,0.949
107021806,3275599.6232109065,21,10,8,2,个,COUNT,0.904
301020402,3271536.200012207,4,4,4,2,千克,MASS,0.9533
101011499,3255272.3704490666,23,11,10,4,OTHER,OTHER,0.6752
109024610,3213626.5856933594,9,5,4,1,个,COUNT,0.5879
102051101,3205911.42786789,26,12,7,3,个,COUNT,0.7174
109022002,3177091.686941147,24,13,7,3,个,COUNT,0.9552
108032406,3149872.8125,4,2,2,2,千克,MASS,0.797
101011903,3149701.261832237,13,10,6,2,千克,MASS,0.837
102040110,3141506.25,4,2,2,2,千克,MASS,0.9354
301020301,3094884.890625,3,3,3,1,千克,MASS,0.769
109010705,3069790.3007659907,17,7,5,2,个,COUNT,0.975
102049906,3065109.7204284673,15,8,7,3,千克,MASS,0.8457
109010511,3036768.521476746,17,6,5,1,个,COUNT,0.832
109022402,3024926.868751526,11,6,5,2,个,COUNT,0.9899
107020702,3008524.984375,8,4,3,2,千克,MASS,0.7993
108040409,2971550.9478602414,40,10,8,3,个,COUNT,0.9078
109061606,2969729.2133903503,20,9,6,2,个,COUNT,0.8739
108012202,2948886.7484264374,17,9,6,1,套,SET,0.5412
109022902,2943115.79107666,17,6,6,3,个,COUNT,0.8682
108032404,2942696.0,7,3,3,3,千克,MASS,0.9791
108041105,2936392.190631867,34,10,7,3,千克,MASS,0.4698
109010401,2873518.0259399414,13,7,7,3,OTHER,OTHER,0.3004
109061304,2813868.9291687007,14,5,5,2,个,COUNT,0.8609
106050605,2738581.854053498,17,8,7,3,个,COUNT,0.8947
107021705,2723203.5264587402,15,8,5,2,UNKNOWN,UNKNOWN,0.7989
108032302,2694472.7458877563,17,8,7,3,个,COUNT,0.6542
109032603,2665393.9737167363,16,8,7,3,个,COUNT,0.543
106050203,2661120.7878112793,10,7,5,2,个,COUNT,0.8749
102049903,2648066.92578125,11,4,4,3,千克,MASS,0.5562
106020104,2630615.6207180023,21,8,7,1,套,SET,0.8033
109061611,2615135.619630814,7,4,4,1,个,COUNT,0.6535
