product_id,n_obs,n_firms,n_cities,mean_price,median_price,min_price,max_price,std_price,mean_lnp,std_lnp,min_lnp,max_lnp,mkt_price,range_price,range_lnp,cv_price
108042300,69,69,40,61.5137,15.4941,5.277,940.2761,147.2511,3.1166,1.1592,1.6633,6.8462,22.819,934.9992,5.1828,2.3938
104011306,69,69,39,45.4981,11.4259,2.3,1231.1111,160.5764,2.7022,1.0808,0.8329,7.1157,7.7929,1228.8111,6.2828,3.5293
103030801,69,69,42,133.3157,32.0,0.8543,3800.0,482.6283,3.6081,1.2977,-0.1575,8.2428,44.3073,3799.1457,8.4003,3.6202
109041804,68,68,40,2752.863,1062.4574,10.3979,33865.2257,4955.4277,7.1057,1.3017,2.3416,10.4301,687.1941,33854.8278,8.0885,1.8001
103010805,68,68,39,20.092,12.538,4.8452,141.5711,24.439,2.6789,0.6895,1.578,4.9528,19.2845,136.7259,3.3748,1.2164
108040403,68,68,42,160.0446,16.999,1.4995,8400.0,1015.372,2.9906,1.44,0.4051,9.036,13.7315,8398.5005,8.6309,6.3443
108041000,68,68,41,3702.8472,78.5657,0.2176,88444.7886,13983.7845,4.5689,2.7759,-1.525,11.3901,12.528,88444.5709,12.9151,3.7765
109012101,68,68,34,892.1051,96.5647,0.4032,34460.0,4432.582,4.4298,1.9036,-0.9084,10.4476,51.5998,34459.5968,11.3559,4.9687
105010903,67,67,39,328.712,12.0528,0.2609,14205.5986,1795.1339,2.9918,1.6504,-1.3434,9.5614,7.2272,14205.3376,10.9048,5.4611
101010199,67,67,47,4313.1509,15.2955,0.0196,285716.0196,34899.9648,2.9264,1.8528,-3.9328,12.5628,24.5659,285716.0,16.4956,8.0915
108020713,67,67,48,1643.0364,469.2952,0.5094,4800.0,1890.3198,5.7188,2.4891,-0.6746,8.4764,169.7143,4799.4906,9.151,1.1505
108040404,67,67,44,72.5792,30.7333,0.4879,679.14,105.4945,3.3552,1.541,-0.7176,6.5208,15.233,678.6521,7.2384,1.4535
